code,isaccessory,isindividual,isline,ismetallic,ispackage,ispaint,isstandard,istop,istrim,isuni,isupholstery,iswheel,name,optionattribute,optionpackagecodekey,optiontype,price,vehicleref,vehicle_id,ismarketing,wholesaleprice
P0475,False,False,False,True,False,True,False,False,False,False,False,False,Black Sapphire Metallic,0,,C,650,,63978395,True,605
P0C7A,False,False,False,True,False,True,False,False,False,False,False,False,Dune Grey Metallic,0,,C,650,,63978348,True,605
P0C7A,False,False,False,True,False,True,False,False,False,False,False,False,Dune Grey Metallic,0,,C,650,,63978156,True,605
P0A90,False,False,False,True,False,True,False,False,False,False,False,False,Dark Graphite Metallic,0,,C,650,,63978108,True,605
P0300,False,False,False,False,False,True,False,False,False,True,False,False,Alpine White,0,,C,0,,63975400,True,0
P0C7A,False,False,False,True,False,True,False,False,False,False,False,False,Dune Grey Metallic,0,,C,650,,63975342,True,605
P0C7A,False,False,False,True,False,True,False,False,False,False,False,False,Dune Grey Metallic,0,,C,650,,63975341,True,605
P0C3Z,False,True,False,True,False,True,False,False,False,False,False,False,Tanzanite Blue II Metallic,0,,C,1500,,63975208,True,1395
P0A90,False,False,False,True,False,True,False,False,False,False,False,False,Dark Graphite Metallic,3,S0337,C,650,,63975203,True,605
P0C4P,False,False,False,True,False,True,False,False,False,False,False,False,Brooklyn Grey Metallic,3,S0337,C,650,,63975199,True,605
P0300,False,False,False,False,False,True,False,False,False,True,False,False,Alpine White,2,S0337,C,0,,63975196,True,0
P0C68,False,False,False,True,False,True,False,False,False,False,False,False,Vegas Red Metallic,0,,C,650,,63975186,True,605
P0C4P,False,False,False,True,False,True,False,False,False,False,False,False,Brooklyn Grey Metallic,3,S0337,C,650,,63975181,True,605
P0475,False,False,False,True,False,True,False,False,False,False,False,False,Black Sapphire Metallic,3,S0337,C,650,,63975179,True,605
P0C4W,False,False,False,True,False,True,False,False,False,False,False,False,Skyscraper Grey Metallic,0,,C,650,,63972631,True,605
