"code","isaccessory","isindividual","isline","ismetallic","ispackage","ispaint","isstandard","istop","istrim","isuni","isupholstery","iswheel","name","optionattribute","optionpackagecodekey","optiontype","price","vehicleref","vehicle_id","ismarketing","wholesaleprice"
"FKSJ6",False,False,False,False,False,False,False,False,False,False,True,False,"Calm Beige Perforated and Quilted Veganza","0",NULL,"U","0",NULL,"63978395",True,0
"P0475",False,False,False,True,False,True,False,False,False,False,False,False,"Black Sapphire Metallic","0",NULL,"C","650",NULL,"63978395",True,605
"S01CB",False,False,False,False,False,False,True,False,False,False,False,False,"CO2 content","",NULL,"O","0",NULL,"63978395",False,0
"S01CE",False,False,False,False,False,False,True,False,False,False,False,False,"48V Mild Hybrid System","",NULL,"O","0",NULL,"63978395",False,0
"S01CR",False,False,False,False,False,False,False,False,False,False,False,False,"Remote Engine Start","2","S0ZPP","O","0",NULL,"63978395",False,0
"S01D0",False,False,False,False,False,False,True,False,False,False,False,False,"Exhaust technology SULEV20 PM.","",NULL,"O","0",NULL,"63978395",False,0
"S0212",False,False,False,False,False,False,True,False,False,False,False,False,"Brake System Equipment","",NULL,"O","0",NULL,"63978395",False,0
"S0248",False,False,False,False,False,False,False,False,False,False,False,False,"Heated Steering Wheel","2","S0ZPP","O","0",NULL,"63978395",False,0
"S02TE",False,False,False,False,False,False,True,False,False,False,False,False,"STEPTRONIC automatic transmission with shift Paddles","",NULL,"O","0",NULL,"63978395",False,0
"S02VB",False,False,False,False,False,False,True,False,False,False,False,False,"Tire pressure monitor","",NULL,"O","0",NULL,"63978395",False,0
"S02VD",False,False,False,False,False,False,False,False,False,False,False,False,"Seal & Drive Tire Kit","0",NULL,"O","0",NULL,"63978395",False,0
"S0302",False,False,False,False,False,False,True,False,False,False,False,False,"Alarm System","",NULL,"O","0",NULL,"63978395",False,0
"S0319",False,False,False,False,False,False,False,False,False,False,False,False,"Universal garage-door opener","S",NULL,"O","0",NULL,"63978395",False,0
"S0322",False,False,False,False,False,False,True,False,False,False,False,False,"Comfort Access keyless entry","",NULL,"O","0",NULL,"63978395",False,0
"S03DZ",False,False,False,False,False,False,True,False,False,False,False,False,"Without Lines designation outside","",NULL,"O","0",NULL,"63978395",False,0
"S03HQ",False,False,False,False,False,False,True,False,False,False,False,True,"19"" Aero Midnight Grey Bicolor 941 Wheels with All Season Tires","0",NULL,"O","0",NULL,"63978395",True,0
"S03MB",False,False,False,False,False,False,False,False,False,False,False,False,"Satin aluminum line exterior trim","0",NULL,"O","0",NULL,"63978395",False,0
"S0402",False,False,False,False,False,False,False,False,False,False,False,False,"Panoramic moonroof","2","S0ZPP","O","0",NULL,"63978395",False,0
"S0420",False,False,False,False,False,False,False,False,False,False,False,False,"Privacy glass","S",NULL,"O","0",NULL,"63978395",False,0
"S043X",False,False,False,False,False,False,False,False,True,False,False,False,"Dark Graphite Interior Trim","",NULL,"O","0",NULL,"63978395",True,0
"S0453",False,False,False,False,False,False,False,False,False,False,False,False,"Front ventilated seats","0",NULL,"O","500",NULL,"63978395",False,465
"S0459",False,False,False,False,False,False,True,False,False,False,False,False,"Power Front Seats","",NULL,"O","0",NULL,"63978395",False,0
"S0481",False,False,False,False,False,False,True,False,False,False,False,False,"Sport seats","",NULL,"O","0",NULL,"63978395",False,0
"S0488",False,False,False,False,False,False,False,False,False,False,False,False,"Lumbar support","S",NULL,"O","0",NULL,"63978395",False,0
"S0494",False,False,False,False,False,False,False,False,False,False,False,False,"Heated front seats","0",NULL,"O","0",NULL,"63978395",False,0
"S04FL",False,False,False,False,False,False,False,False,False,False,False,False,"Travel and Comfort System","2","S0ZPP","O","0",NULL,"63978395",False,0
"S04NR",False,False,False,False,False,False,False,False,False,False,False,False,"Interior Camera","2","S07EW","O","0",NULL,"63978395",False,0
"S04UR",False,False,False,False,False,False,False,False,False,False,False,False,"Ambient Lighting","S",NULL,"O","0",NULL,"63978395",False,0
"S05AP",False,False,False,False,False,False,True,False,False,False,False,False,"Decoding for no-dazzle high-beam assistance","",NULL,"O","0",NULL,"63978395",False,0
"S05AS",False,False,False,False,False,False,True,False,False,False,False,False,"Driving Assistant","",NULL,"O","0",NULL,"63978395",False,0
"S05AT",False,False,False,False,False,False,False,False,False,False,False,False,"Driving Assistant Plus","2","S07EW","O","0",NULL,"63978395",False,0
"S05DN",False,False,False,False,False,False,False,False,False,False,False,False,"Parking Assistant Plus","2","S07EW","O","0",NULL,"63978395",False,0
"S0645",False,False,False,False,False,False,True,False,False,False,False,False,"Radio control US","",NULL,"O","0",NULL,"63978395",False,0
"S0655",False,False,False,False,False,False,True,False,False,False,False,False,"SiriusXM Satellite Radio with 1-year All Access Subscription","",NULL,"O","0",NULL,"63978395",False,0
"S0688",False,False,False,False,False,False,False,False,False,False,False,False,"Harman Kardon surround sound system","0",NULL,"O","900",NULL,"63978395",False,835
"S06AC",False,False,False,False,False,False,True,False,False,False,False,False,"BMW Assist eCall","",NULL,"O","0",NULL,"63978395",False,0
"S06AE",False,False,False,False,False,False,True,False,False,False,False,False,"BMW TeleServices","",NULL,"O","0",NULL,"63978395",False,0
"S06NX",False,False,False,False,False,False,True,False,False,False,False,False,"Wireless Device Charging","",NULL,"O","0",NULL,"63978395",False,0
"S06PA",False,False,False,False,False,False,False,False,False,False,False,False,"Personal eSIM 5G","S",NULL,"O","0",NULL,"63978395",False,0
